step,time,gps_x,gps_y,gps_z,gps_speed,gyro_x,gyro_y,gyro_z,imu_roll,imu_pitch,imu_yaw,imu_quat_x,imu_quat_y,imu_quat_z,imu_quat_w,radar_targets_count,roof_lidar_min_dist,roof_lidar_max_dist,roof_lidar_mean_dist,camera_red,camera_green,camera_blue,camera_gray,camera_recognition_objects,driver_speed,driver_steering_angle,driver_brake_intensity,collision_detected
48,2.410000,-56.341861,45.401005,0.306733,9.503945,-0.008839,0.032789,-0.044902,-0.001502,-0.029291,-3.082894,0.014661,-0.000321,0.999462,-0.029331,1,19.097879,99.995522,45.188887,25,33,25,27.666666666666668,7,34.074866,0.016080,0.000000,0
49,2.460000,-56.822675,45.373584,0.306946,9.714740,0.006637,0.061876,-0.038016,-0.001457,-0.026639,-3.085036,0.013334,-0.000352,0.999512,-0.028263,1,15.235647,99.990707,44.800009,28,38,26,30.666666666666668,7,34.779832,0.011635,0.000000,0
50,2.510000,-57.313644,45.346663,0.308232,9.912569,0.016403,0.058604,-0.028188,-0.000732,-0.023537,-3.086633,0.011774,-0.000042,0.999553,-0.027470,1,17.293842,99.998451,44.617623,25,34,24,27.666666666666668,7,35.483491,0.008530,0.000000,0
51,2.560000,-57.814038,45.318785,0.325551,10.151945,-0.001338,0.146651,-0.012428,-0.001458,-0.016437,-3.087868,0.008235,-0.000508,0.999605,-0.026852,1,18.435261,99.949928,45.044892,22,29,22,24.333333333333332,7,36.176511,0.001696,0.000000,0
52,2.610000,-58.326321,45.291441,0.345439,10.339007,0.010375,0.126354,0.001782,-0.001140,-0.009560,-3.088006,0.004794,-0.000442,0.999630,-0.026787,1,14.574038,99.987877,45.066308,16,18,20,18.0,7,36.886636,-0.001414,0.000000,0
53,2.660000,-58.847619,45.263552,0.360462,10.516423,0.016961,0.074203,0.013070,-0.000443,-0.004730,-3.087636,0.002370,-0.000158,0.999633,-0.026975,1,18.483997,99.999596,45.006724,17,20,21,19.333333333333332,7,37.588371,-0.005554,0.000000,0
54,2.710000,-59.377929,45.234909,0.367342,10.693770,0.016310,0.016603,0.012455,0.000435,-0.002773,-3.086863,0.001380,0.000255,0.999625,-0.027362,1,18.392048,99.896950,44.672319,17,20,21,19.333333333333332,7,38.290102,-0.002953,0.000000,0
55,2.760000,-59.917257,45.205397,0.366544,10.876506,0.003950,-0.027360,0.002574,0.000936,-0.003341,-3.086514,0.001657,0.000514,0.999619,-0.027536,1,16.297983,99.637871,44.803099,17,21,22,20.0,7,38.990175,0.000270,0.000000,0
56,2.810000,-60.465909,45.175072,0.360824,11.067389,-0.011902,-0.049146,-0.000271,0.000637,-0.005456,-3.086539,0.002718,0.000394,0.999617,-0.027524,1,17.824209,99.952637,44.834291,17,21,21,19.666666666666668,7,39.688856,-0.000002,0.000000,0
57,2.860000,-61.024282,45.144029,0.353600,11.265307,-0.013889,-0.049287,0.002722,-0.000107,-0.007994,-3.086480,0.003997,0.000057,0.999612,-0.027552,1,18.216780,99.991539,44.752154,17,19,21,19.0,7,40.386538,-0.001185,0.000000,0
58,2.910000,-61.592699,45.112406,0.347659,11.467783,0.005511,-0.034495,0.013359,-0.000294,-0.010056,-3.086121,0.005030,-0.000008,0.999603,-0.027731,1,16.332878,99.969482,44.261963,16,18,20,18.0,7,41.083590,-0.005414,0.000000,0
59,2.960000,-62.171296,45.080025,0.344473,11.671913,0.022150,-0.013812,0.032544,0.000512,-0.011167,-3.084967,0.005574,0.000414,0.999584,-0.028310,1,18.153111,99.411484,43.885521,16,19,19,18.0,7,41.780279,-0.011303,0.000000,0
60,3.010000,-62.759584,45.046104,0.344257,11.834334,0.007006,0.033814,0.047703,0.001176,-0.011063,-3.082843,0.005512,0.000750,0.999553,-0.029373,1,18.119247,99.910454,43.450991,16,20,20,18.666666666666668,7,42.498204,-0.018155,0.000000,0
61,3.060000,-63.349941,45.011309,0.347511,11.861435,-0.027531,0.193673,0.070978,0.001255,-0.003931,-3.080421,0.001945,0.000687,0.999530,-0.030582,1,18.081039,99.994072,43.238317,15,19,21,18.333333333333332,7,43.161031,-0.023520,0.000000,0
62,3.110000,-63.956472,44.972448,0.348954,12.320979,0.021586,0.115793,0.088043,0.002375,0.003408,-3.076760,-0.001741,0.001132,0.999473,-0.032408,1,18.040575,99.927872,42.674071,24,27,26,25.666666666666668,7,43.853611,-0.024547,0.000000,0
63,3.160000,-64.576787,44.930485,0.349577,12.497339,0.014219,0.063750,0.091847,0.003288,0.007615,-3.072212,-0.003862,0.001511,0.999390,-0.034677,1,14.723098,99.856056,42.538456,78,73,68,73.0,7,44.567560,-0.024756,0.000000,0
64,3.210000,-65.205056,44.884839,0.350589,12.669594,-0.005282,0.008835,0.094694,0.003439,0.009117,-3.067561,-0.004619,0.001550,0.999303,-0.036999,1,17.945814,99.839554,42.133282,153,148,116,139.0,7,45.261156,-0.025085,0.000000,0
65,3.260000,-65.841797,44.833478,0.347689,12.842379,0.083859,-0.096835,0.061154,0.004928,0.007157,-3.063449,-0.003672,0.002322,0.999228,-0.039053,1,17.895258,99.872604,41.881556,130,121,113,121.33333333333333,7,45.966645,-0.027284,0.000000,0
66,3.310000,-66.485550,44.777563,0.329733,13.003302,-0.027811,-0.166447,0.120163,0.005276,-0.000564,-3.058924,0.000173,0.002647,0.999142,-0.041323,1,17.837719,99.971268,41.638606,125,116,109,116.66666666666667,7,46.652077,-0.034228,0.000000,0
67,3.360000,-67.139091,44.719677,0.311368,13.209870,-0.005081,-0.144392,0.161543,0.004256,-0.008496,-3.051839,0.004148,0.002317,0.998982,-0.044870,1,16.964073,99.979095,41.114817,41,40,40,40.333333333333336,7,47.342506,-0.044009,0.000000,0
68,3.410000,-67.801615,44.656145,0.298875,13.391491,0.020984,-0.078637,0.205360,0.004526,-0.013808,-3.042442,0.006783,0.002602,0.998744,-0.049569,1,16.500399,99.997185,41.082965,17,20,20,19.0,7,48.030347,-0.052378,0.000000,0
69,3.460000,-68.473163,44.585147,0.294276,13.588552,0.040668,-0.011316,0.229110,0.005848,-0.015703,-3.031405,0.007679,0.003352,0.998446,-0.055087,1,17.624926,99.961433,41.206071,15,18,18,17.0,7,48.629947,-0.056124,0.000000,0
70,3.510000,-69.152943,44.505779,0.296606,13.745187,0.033770,0.044539,0.246801,0.007522,-0.014612,-3.019374,0.007062,0.004200,0.998098,-0.061097,1,17.538958,99.993484,40.977674,18,22,21,20.333333333333332,7,49.023058,-0.055908,0.000000,0
71,3.560000,-69.836922,44.418439,0.303644,13.823964,0.011191,0.078299,0.267210,0.008211,-0.011294,-3.006434,0.005357,0.004478,0.997692,-0.067549,1,17.440090,99.959778,40.662773,15,18,19,17.333333333333332,7,49.353647,-0.057341,0.000000,0
72,3.610000,-70.522836,44.321795,0.311982,13.869786,0.009249,0.080293,0.276329,0.008509,-0.007335,-2.992865,0.003341,0.004515,0.997219,-0.074310,1,17.329464,99.789284,40.429318,25,28,26,26.333333333333332,7,49.426035,-0.059683,0.000000,0
73,3.660000,-71.208598,44.215494,0.318927,13.882119,0.015361,0.061037,0.287509,0.008963,-0.003966,-2.978706,0.001612,0.004628,0.996673,-0.081361,1,17.209120,99.926666,40.783246,26,27,27,26.666666666666668,7,49.431522,-0.061767,0.000000,0
74,3.710000,-71.892544,44.099588,0.323032,13.865478,0.005612,0.032981,0.295436,0.009415,-0.001890,-2.964092,0.000524,0.004773,0.996052,-0.088637,1,17.079214,99.889931,40.851211,25,28,26,26.333333333333332,6,49.435891,-0.062641,0.000000,0
75,3.760000,-72.573306,43.973659,0.324149,13.834696,-0.003294,0.006046,0.292141,0.009410,-0.001205,-2.949444,0.000148,0.004741,0.995377,-0.095928,1,16.938408,99.385437,41.002122,28,30,28,28.666666666666668,6,49.436839,-0.062903,0.000000,0
76,3.810000,-73.251986,43.837615,0.322623,13.847289,-0.001818,-0.018768,0.300033,0.009204,-0.001875,-2.934679,0.000457,0.004674,0.994642,-0.103276,1,16.787699,99.135971,40.873154,89,82,77,82.66666666666667,7,49.435593,-0.063991,0.000000,0
